Species,Genus,SpeciesPurvis,GenusPurvis,Taxon,Great ape,Innovation,Tool use,Extractive foraging,Social learning,Innovation (Reduced),Tool use (Reduced),Extractive foraging (Reduced),Journal Search Article Count,Zoological Record Article Count,Journal reports (2002 dataset),Innovation (2002 dataset),Social learning  (2002 dataset),Tool use (2002 dataset),
Hylobates gabriellae,Hylobates,Hylobates gabriellae,Hylobates,Simian,No,1,0,0,0,1,0,0,2,4,,,,,
Hylobates hoolock,Hylobates,Hylobates hoolock,Hylobates,Simian,No,0,0,0,0,0,0,0,2,24,1,0,0,0,
Hylobates klossii,Hylobates,Hylobates klossi,Hylobates,Simian,No,0,0,0,0,0,0,0,1,4,,,,,
Hylobates lar,Hylobates,Hylobates lar,Hylobates,Simian,No,0,0,0,0,0,0,0,19,86,6,0,0,0,
Hylobates leucogenys,Hylobates,Hylobates leucogenys,Hylobates,Simian,No,0,0,0,0,0,0,0,1,8,,,,,
Hylobates moloch,Hylobates,Hylobates moloch,Hylobates,Simian,No,0,0,0,0,0,0,0,,16,,,,,
Hylobates muelleri,Hylobates,Hylobates muelleri,Hylobates,Simian,No,0,0,0,0,0,0,0,1,5,1,0,0,0,
Hylobates pileatus,Hylobates,Hylobates pileatus,Hylobates,Simian,No,1,0,0,0,1,0,0,3,16,2,1,0,0,
Hylobates syndactylus,Hylobates,Hylobates syndactylus,Hylobates,Simian,No,0,0,0,0,0,0,0,8,40,4,0,0,0,
Indri indri,Indri,Indri indri,Indri,Prosimian,No,0,0,0,0,0,0,0,2,8,,,,,
Lemur catta,Lemur,Lemur catta,Lemur,Prosimian,No,2,0,2,4,0,0,0,43,103,11,2,4,0,
Leontopithecus chrysomelas,Leontopithecus,Leontopithecus chrysomelas,Leontopithecus,Simian,No,1,0,0,0,1,0,0,9,46,3,1,0,0,
Leontopithecus chrysopygus,Leontopithecus,Leontopithecus chrysopygus,Leontopithecus,Simian,No,0,0,0,0,0,0,0,2,38,,,,,
Leontopithecus rosalia,Leontopithecus,Leontopithecus rosalia,Leontopithecus,Simian,No,0,0,0,0,0,0,0,23,85,2,0,0,0,
Lepilemur dorsalis,Lepilemur,Lepilemur dorsalis,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,1,1,,,,,
Lepilemur edwardsi,Lepilemur,Lepilemur edwardsi,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,,5,,,,,
Lepilemur leucopus,Lepilemur,Lepilemur leucopus,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,2,2,,,,,
Lepilemur microdon,Lepilemur,Lepilemur microdon,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,1,1,,,,,
Lepilemur mustelinus,Lepilemur,Lepilemur mustelinus,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,,5,,,,,
Lepilemur ruficaudatus,Lepilemur,Lepilemur ruficaudatus,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,2,2,,,,,
Lepilemur septentrionalis,Lepilemur,Lepilemur septentrionalis,Lepilemur,Prosimian,No,0,0,0,0,0,0,0,,0,,,,,
Loris tardigradus,Loris,Loris tardigradus,Loris,Prosimian,No,1,0,0,0,1,0,0,6,14,3,1,0,0,
Mandrillus leucophaeus,Mandrillus,Mandrillus leucophaeus,Mandrillus,Simian,No,0,0,0,0,0,0,0,3,18,,,,,
Mandrillus sphinx,Mandrillus,Mandrillus sphinx,Mandrillus,Simian,No,0,0,0,3,0,0,0,4,30,2,0,3,0,
Microcebus murinus,Microcebus,Microcebus murinus,Microcebus,Prosimian,No,0,0,0,0,0,0,0,44,66,6,0,0,0,
Microcebus myoxinus,Microcebus,Microcebus myoxinus,Microcebus,Prosimian,No,0,0,0,0,0,0,0,2,,,,,,
Microcebus ravelobensis,Microcebus,Microcebus ravelobensis,Microcebus,Prosimian,No,0,0,0,0,0,0,0,2,,,,,,
Microcebus rufus,Microcebus,Microcebus rufus,Microcebus,Prosimian,No,0,0,0,0,0,0,0,5,8,,,,,
